city,lat,lng
Nacajuca,18.1692,-93.0197
Apizaco,19.4167,-98.1333
Cunduacan,18.0667,-93.1667
Cabo San Lucas,22.8897,-109.9156
Salina Cruz,16.1671,-95.2
Tepeji del Rio de Ocampo,19.9039,-99.3414
Cardenas,17.983,-93.367
Patzcuaro,19.5164,-101.6097
Ciudad Lerdo,25.55,-103.5167
Ciudad Lazaro Cardenas,17.9561,-102.1922
Agua Prieta,31.3258,-109.5489
Villa Victoria,19.4333,-100
Temoaya,19.4686,-99.5933
Ciudad de Huajuapam de Leon,17.8039,-97.7758
Kanasin,20.9344,-89.5578
Cozumel,20.5104,-86.9493
Zacatlan,19.9319,-97.96
Valle Alto,25.5667,-100.25
Juchitan de Zaragoza,16.4333,-95.0194
Fuentes del Valle,19.6325,-99.1386
Ixmiquilpan,20.4861,-99.2589
Tamazunchale,21.2667,-98.7833
Guamuchil,25.4639,-108.0794
Guasave,25.5744,-108.4706
Guasavito,25.5744,-108.4706
Tejupilco,18.9058,-100.1528
Frontera,26.926,-101.449
Rioverde,21.93,-99.98
Valle Hermoso,25.6736,-97.8144
Tepotzotlan,19.7161,-99.2236
Matehuala,23.6528,-100.6444
Comonfort,20.7167,-100.7667
Santa Catarina Otzolotepec,18.5667,-97.25
Juventino Rosas,20.65,-101
Playas de Rosarito,32.3422,-117.0561
Tecate,32.5667,-116.6331
Santo Domingo Tehuantepec,16.3184,-95.2478
Apaseo el Alto,20.45,-100.6167
Santiago Tianguistenco,19.1797,-99.4706
Misantla,19.9333,-96.85
Colonia del Sol,22.9125,-109.9208
Sabinas,27.86,-101.12
San Juan de Sabinas,27.9167,-101.3
Teoloyucan,19.7442,-99.1811
Linares,24.8597,-99.5679
Puerto Penasco,31.3167,-113.5369
Ocoyoacac,19.2739,-99.4606
Valle de Bravo,19.1925,-100.1306
Montemorelos,25.1872,-99.8267
Autlan de Navarro,19.7667,-104.3667
Amozoc,19.0333,-98.05
Heroica Caborca,30.7167,-112.15
Huehuetoca,19.8342,-99.2033
Altamira,22.3375,-97.8694
Uriangato,20.1333,-101.1667
Tlaltenango de Sanchez Roman,21.7815,-103.3059
Sombrerete,23.6333,-103.6397
Temascalcingo,19.9147,-100.0036
Acambaro,20.0361,-100.7314
Cortazar,20.483,-100.933
Jerez de Garcia Salinas,22.6481,-102.9903
Acambay,19.9539,-99.8431
Amealco,20.1881,-100.1439
Actopan,20.267,-98.933
Etchojoa,26.8667,-109.65
Nuevo Casas Grandes,30.4167,-107.9167
Jocotitlan,19.7072,-99.7867
Tequisquiapan,20.5206,-99.8958
San Jose Iturbide,21,-100.3833
Progreso,21.28,-89.67
San Pedro,25.7589,-102.9844
Pijijiapan,15.6867,-93.2092
San Jose Villa de Allende,19.3747,-100.1475
Acatzingo,18.9817,-97.7822
Huamantla,19.3133,-97.9228
Romita,20.8708,-101.5169
Berriozabal,16.7993,-93.2725
Zumpango,19.7969,-99.0992
Francisco I. Madero,25.7753,-103.2731
Tepeapulco,19.7856,-98.5517
Valladolid,20.6894,-88.2017
Matamoros,25.533,-103.25
Ramos Arizpe,25.55,-100.9667
San Buenaventura,19.2641,-99.6746
Santiago Teyahualco,19.6667,-99.1333
Calimaya,19.1608,-99.6172
Tizimin,21.1425,-88.1647
Santa Ana Chiautempan,19.3167,-98.1833
San Francisco de los Romo,22.0833,-102.2667
Tlalmanalco,19.2044,-98.8025
Villagran,20.517,-100.983
Ciudad Constitucion,25.0322,-111.6703
Cuautepec de Hinojosa,20.15,-98.4333
Parras de la Fuente,25.4403,-102.1792
Chiapa de Corzo,16.7083,-93.0169
Puerto Escondido,15.8619,-97.0672
Petatlan,17.5383,-101.2739
Zongolica,18.6642,-97.0011
Pedro Celestino Negrete,24.726,-102.984
Loreto,22.2667,-101.9833
Actopan,19.5036,-96.6192
Jesus Maria,21.9667,-102.35
Tepalcatepec,19.1833,-102.85
Atenco,19.5167,-98.9167
Empalme,27.9617,-110.8125
Nuevo Mexico,20.75,-103.433
Tequila,20.8794,-103.8356
Moroleon,20.1333,-101.2
Ocosingo,16.9072,-92.0961
Jaltipan de Morelos,17.9703,-94.7144
Izucar de Matamoros,18.6,-98.4667
Camargo,27.667,-105.167
Penjamo,20.4311,-101.7222
Yecapixtla,18.8833,-98.865
Matias Romero,16.8798,-95.0391
Emiliano Zapata,18.8667,-99.15
San Diego de la Union,21.4656,-100.8736
Uman,20.8833,-89.75
Villa del Carbon,19.7272,-99.5417
Apan,19.7,-98.4333
Galeana,24.8333,-100.0667
San Felipe Orizatlan,21.1719,-98.6064
Zacatelco,19.2167,-98.2333
Ciudad Manuel Doblado,20.7303,-101.9533
Xico,19.417,-97
Tlapa de Comonfort,17.5461,-98.5764
Santiago,25.4333,-100.1333
Mixquiahuala de Juarez,20.2311,-99.2131
Melchor Ocampo,19.7083,-99.1444
Perote,19.562,-97.242
San Blas,21.5397,-105.2856
Compostela,21.2389,-104.9
Paracho de Verduzco,19.65,-102.0667
Nueva Rosita,27.939,-101.218
Zinacantan,16.7597,-92.7222
Zacatepec,18.6833,-99.1833
Tamuin,22,-98.7833
La Barca,20.2903,-102.5456
Tonala,16.0894,-93.7514
Acaxochitlan,20.1667,-98.2
Zimapan,20.7333,-99.3833
Jimenez,27.13,-104.9067
Tuxpan,21.8667,-105.45
Salvatierra,20.2156,-100.8961
Santa Isabel,32.6314,-115.5756
Paso de Ovejas,19.285,-96.44
Calpulalpan,19.5869,-98.5683
Panuco,22.05,-98.1833
Temascalapa,19.8,-98.9
Villanueva,22.3536,-102.8831
Ticul,20.3953,-89.5339
Nueva Italia de Ruiz,19.0194,-102.1089
Ojuelos de Jalisco,21.8642,-101.5933
Ciudad Sabinas Hidalgo,26.5,-100.1833
Turicato,19.05,-101.4167
Coatepec Harinas,18.9,-99.7167
El Oro de Hidalgo,19.8008,-100.1314
Jaral del Progreso,20.3667,-101.0667
Amecameca de Juarez,19.1238,-98.7665
Tecozautla,20.5333,-99.6333
Cananea,30.9819,-110.3006
Tenosique,17.4756,-91.4225
Atotonilco de Tula,20.05,-99.1833
Champoton,19.35,-90.7167
Capulhuac,19.2,-99.4667
Escuinapa,22.9822,-105.7031
Macuspana,17.7667,-92.6
Huatabampo,26.8304,-109.63
Temascaltepec de Gonzalez,19.0433,-100.0414
Ometepec,16.6833,-98.4167
Cihuatlan,19.25,-104.5667
Ixtapan de la Sal,18.8333,-99.6833
Otumba,19.6969,-98.7547
Villa Donato Guerra,19.3083,-100.1422
Escarcega,18.6067,-90.7344
San Fernando,24.8504,-98.16
Navolato,24.7656,-107.7019
San Salvador,20.2833,-99.0153
Pabellon de Arteaga,22.15,-102.2667
Ciudad Sahagun,19.7714,-98.5803
Cuitzeo del Porvenir,19.9686,-101.1394
Villa Luvianos,18.92,-100.2983
Xochistlahuaca,16.7914,-98.2419
Ojinaga,29.5644,-104.4164
Rincon de Romos,22.2333,-102.3167
Nochistlan de Mejia,21.3642,-102.8464
Salinas Victoria,25.9667,-100.3
Tlalpujahua de Rayon,19.805,-100.1744
San Martin Hidalgo,20.435,-103.9286
Soledad de Doblado,19.0447,-96.4233
Atlautla,19,-98.7167
Catemaco,18.4167,-95.1167
Contla,19.3333,-98.1667
Abasolo,20.4511,-101.5289
Zempoala,19.9167,-98.6667
Tepehuacan de Guerrero,21.0131,-98.8442
Ozumba,19.0392,-98.7936
San Agustin Tlaxiaca,20.1144,-98.8867
Amatepec,18.65,-100.15
Atitalaquia,20.0583,-99.2208
Xalatlaco,19.1811,-99.4164
Tlaxcoapan,20.0953,-99.22
Jaltenco,19.7511,-99.0931
Ocuilan de Arteaga,19,-99.4
Santiago Papasquiaro,25.0439,-105.4192
Huaquechula,18.7667,-98.55
Zacualtipan,20.65,-98.65
Cuajinicuilapa,16.4717,-98.4153
Felipe Carrillo Puerto,19.5786,-88.0453
Huejotzingo,19.1594,-98.4073
Cueramaro,20.6258,-101.6739
Tepetlaoxtoc,19.5731,-98.8203
Pinal de Amoles,21.1342,-99.4586
Álamo,20.9167,-97.675
Santa Maria Tonameca,15.7458,-96.5472
Sultepec,18.8667,-99.95
Doctor Mora,21.1425,-100.3192
Hunucma,21.0153,-89.8744
Aldama,28.8386,-105.9111
Jamay,20.2944,-102.7097
Zumpango del Rio,17.65,-99.5
Ciudad Altamirano,18.3583,-100.6667
Álamos,27.0275,-108.94
Tecolutla,20.4797,-97.01
El Salto,23.7823,-105.3585
Tantoyuca,21.35,-98.2333
Ciudad Serdan,18.9833,-97.45
Cerro Azul,21.2,-97.7331
Ocampo,21.65,-101.5
Juchitepec,19.0997,-98.8792
Magdalena de Kino,30.6167,-111.05
Soledad Atzompa,18.755,-97.1522
Malinalco,18.9483,-99.4947
Frontera,18.5336,-92.6469
Tequixquiac,19.9097,-99.1417
Meoqui,28.2722,-105.4819
Santa Ana Nextlalpan,19.7167,-99.0667
Puente Nacional,19.3333,-96.4833
Castanos,26.7833,-101.4167
Alvarado,18.7811,-95.7572
Nava,28.4214,-100.7675
Atlatlahucan,18.935,-98.9
Jalpan,21.2167,-99.4725
Axapusco,19.7194,-98.7972
Xalisco,21.4481,-104.9
Chapa de Mota,19.8144,-99.5269
Tixtla de Guerrero,17.5667,-99.4
Chapala,20.2933,-103.1897
San Martin de las Piramides,19.7333,-98.8167
Heroica Ciudad de Tlaxiaco,17.2704,-97.68
Nogales,18.8167,-97.1667
Tepezala,22.2167,-102.1667
Comala,19.3208,-103.7603
Allende,28.3333,-100.8333
Atoyac de Álvarez,17.2,-100.4333
Loreto,26.0128,-111.3433
Naranjos,21.3472,-97.6833
Ciudad Miguel Aleman,26.4003,-99.0253
Calvillo,21.85,-102.7167
Huanimaro,20.3675,-101.4969
Chiconcuac,19.55,-98.9
Lerdo de Tejada,18.638,-95.5085
Hidalgotitlan,17.7833,-94.6333
Tapalpa,19.9445,-103.7585
Viesca,25.35,-102.8
Cotija de la Paz,19.81,-102.7047
Fortin de las Flores,18.9,-97
Landa de Matamoros,21.1819,-99.3203
Asuncion Nochixtlan,17.4592,-97.2261
San Blas Atempa,16.3167,-95.2167
Santiago Ixcuintla,21.811,-105.2079
Tepetlixpa,19.0006,-98.8178
Tulum,20.2119,-87.4658
Acatlan,20.1444,-98.4383
San Bartolo Tutotepec,20.4,-98.2
Victoria,21.2122,-100.2144
Miahuatlan de Porfirio Diaz,16.33,-96.6
Penamiller,21.0519,-99.815
Ciudad Guadalupe Victoria,24.4497,-104.1225
Zapotlan de Juarez,19.9667,-98.85
Santiago Tulantepec,20.0397,-98.3575
Ciudad de Huitzuco,18.3,-99.35
El Rosario,22.9922,-105.8572
Vicente Guerrero,23.75,-103.9833
Tenango de Doria,20.3356,-98.2267
Santiago Tuxtla,18.4704,-95.3
La Cruz,23.9214,-106.8919
Madera,29.19,-108.1414
Ayutla de los Libres,16.9,-99.2167
Amatitan,20.8333,-103.7167
Cardenas,22.0103,-99.6522
Chilcuautla,20.3333,-99.2333
Huasca de Ocampo,20.2028,-98.5758
